;Faconnage;Rainage;Massicot;Template
ANN-F-CIN-ENF-CLA;F000;R000;M018;T007
ANN-F-CIN-ADO-CLA;F000;R000;M018;T007
ANN-F-CIN-ADU-CLA;F000;R000;M018;T007
ANN-F-CIN-ENF-BOB;F000;R000;M010;T010
ANN-F-CIN-EDO-BOB;F000;R000;M010;T010
ANN-F-CIN-ADO-ETO;F000;R000;M010;T010
ANN-F-CIN-ADU-PEL;F000;R000;M010;T010
ANN-F-CIN-ADU-SIE;F000;R000;M010;T010
ANN-F-CIN-ADU-RID;F000;R000;M010;T011
ANN-F-CIN-ENF-ETO;F000;R000;M010;T012
ANN-F-CIN-ENF-ICO;F000;R000;M010;T012
ANN-F-CIN-ENF-TIC;F000;R000;M010;T012
ANN-F-CIN-ADO-NEO;F000;R000;M010;T012
ANN-F-CIN-ADO-TIC;F000;R000;M010;T012
ANN-F-CIN-ADU-TIC;F000;R000;M010;T012
