;Faconnage;Rainage;Massicot;Template
ANN-F-CLA-ENF-CAD;F000;R000;M010;T010
ANN-F-CLA-ENF-COT;F015;R002;M006;T009
ANN-F-CLA-ENF-ICO;F000;R000;M010;T010
ANN-F-CLA-ENF-PHO;F000;R000;M010;T004
ANN-F-CLA-ENF-TAB;F000;R000;M018;T002
ANN-F-CLA-ADO-BAL;F001;R001;M010;T001
ANN-F-CLA-ADO-CAD;F000;R000;M010;T010
ANN-F-CLA-ADO-DOR;F000;R000;M018;T002
ANN-F-CLA-ADO-ICO;F015;R002;M006;T009
ANN-F-CLA-ADO-TAB;F000;R000;M018;T002
ANN-F-CLA-ADU-CON;F000;R000;M010;T010
ANN-F-CLA-ADU-DEN;F000;R000;M010;T003
ANN-F-CLA-ADU-DOR;F015;R002;M006;T009
ANN-F-CLA-ADU-PHO;F000;R000;M010;T003
ANN-F-CLA-ADU-TAB;F000;R000;M018;T002
