;Faconnage;Rainage;Massicot;Template
ANN-F-DIV-ENF-COE;F000;R000;M018;T002
ANN-F-DIV-ENF-DOR;F000;R000;M010;T010
ANN-F-DIV-ENF-ETO;F000;R000;M018;T002
ANN-F-DIV-ENF-JOU;F000;R000;M018;T007
ANN-F-DIV-ENF-TAB;F000;R000;M010;T010
ANN-F-DIV-ADO-PEL;F000;R000;M010;T010
ANN-F-DIV-ADO-PHO;F000;R000;M010;T004
ANN-F-DIV-ADO-SMS;F000;R000;M018;T002
ANN-F-DIV-ADO-SON;F000;R000;M010;T010
ANN-F-DIV-ADO-TAB;F000;R000;M010;T015
ANN-F-DIV-ADU-AQU;F000;R000;M010;T010
ANN-F-DIV-ADU-ARA;F000;R000;M010;T010
ANN-F-DIV-ADU-TAB;F000;R000;M018;T002
ANN-F-DIV-ADU-THE;F001;R001;M006;T014
ANN-F-DIV-ADU-VIN;F000;R000;M010;T004
