;Faconnage;Rainage;Massicot;Template
ANN-F-GOU-ENF-CHO;F000;R000;M010;T015
ANN-F-GOU-ENF-CRE;F000;R000;M010;T004
ANN-F-GOU-ENF-CUP;F015;R002;M006;T009
ANN-F-GOU-ENF-GAT;F002;R001;M006;T008
ANN-F-GOU-ENF-MAC;F000;R000;M010;T010
ANN-F-GOU-ADO-BUR;F000;R000;M018;T002
ANN-F-GOU-ADO-CIT;F015;R002;M006;T009
ANN-F-GOU-ADO-CUP;F000;R000;M018;T002
ANN-F-GOU-ADO-FAS;F000;R000;M010;T015
ANN-F-GOU-ADO-FOO;F002;R001;M006;T008
ANN-F-GOU-ADU-CAF;F000;R000;M018;T002
ANN-F-GOU-ADU-CER;F000;R000;M010;T010
ANN-F-GOU-ADU-COC;F015;R002;M006;T009
ANN-F-GOU-ADU-GAT;F000;R000;M010;T010
ANN-F-GOU-ADU-JAP;F000;R000;M010;T015
