;Faconnage;Rainage;Massicot;Template
ANN-F-NAT-ENF-CHA;F015;R002;M006;T009
ANN-F-NAT-ENF-JUN;F002;R001;M006;T008
ANN-F-NAT-ENF-LAP;F000;R000;M010;T010
ANN-F-NAT-ENF-LIC;F000;R000;M018;T002
ANN-F-NAT-ENF-SAI;F000;R000;M010;T010
ANN-F-NAT-ADO-FEU;F000;R000;M010;T010
ANN-F-NAT-ADO-FLE;F000;R000;M010;T004
ANN-F-NAT-ADO-PIS;F000;R000;M010;T010
ANN-F-NAT-ADO-PLA;F000;R000;M018;T002
ANN-F-NAT-ADO-RAY;F002;R001;M006;T008
ANN-F-NAT-ADU-DOR;F000;R000;M018;T002
ANN-F-NAT-ADU-FEU;F000;R000;M010;T004
ANN-F-NAT-ADU-FLE;F015;R002;M006;T009
ANN-F-NAT-ADU-TRO;F000;R000;M010;T010
ANN-F-NAT-ADU-WOO;F000;R000;M018;T007
