;Faconnage;Rainage;Massicot;Template
ANN-F-VIN-ENF-CAD;F000;R000;M010;T010
ANN-F-VIN-ENF-CIR;F000;R000;M010;T015
ANN-F-VIN-ENF-CON;F000;R000;M018;T002
ANN-F-VIN-ENF-FLO;F000;R000;M010;T004
ANN-F-VIN-ENF-NAT;F002;R001;M006;T008
ANN-F-VIN-ADO-80S;F000;R000;M010;T010
ANN-F-VIN-ADO-COU;F000;R000;M018;T002
ANN-F-VIN-ADO-GAT;F000;R000;M010;T004
ANN-F-VIN-ADO-JOU;F001;R001;M010;T006
ANN-F-VIN-ADO-RET;F000;R000;M018;T002
ANN-F-VIN-ADU-CAS;F001;R001;M010;T006
ANN-F-VIN-ADU-FLO;F000;R000;M010;T015
ANN-F-VIN-ADU-GAT;F000;R000;M018;T002
ANN-F-VIN-ADU-GUI;F000;R000;M010;T010
ANN-F-VIN-ADU-MAC;F000;R000;M010;T010
