;Faconnage;Rainage;Massicot;Template
ANN-F-VOY-ENF-GAL;F000;R000;M010;T010
ANN-F-VOY-ENF-MEX;F000;R000;M010;T010
ANN-F-VOY-ENF-MON;F000;R000;M010;T004
ANN-F-VOY-ENF-ORI;F001;R001;M010;T001
ANN-F-VOY-ENF-SAV;F000;R000;M010;T015
ANN-F-VOY-ADO-AER;F000;R000;M010;T015
ANN-F-VOY-ADO-MET;F001;R001;M006;T014
ANN-F-VOY-ADO-OCE;F000;R000;M010;T010
ANN-F-VOY-ADO-POS;F000;R000;M018;T007
ANN-F-VOY-ADO-TRO;F000;R000;M010;T004
ANN-F-VOY-ADU-COU;F000;R000;M018;T007
ANN-F-VOY-ADU-JAP;F000;R000;M010;T010
ANN-F-VOY-ADU-MAP;F000;R000;M010;T010
ANN-F-VOY-ADU-PAY;F000;R000;M018;T002
ANN-F-VOY-ADU-VAL;F001;R001;M010;T006
