;Faconnage;Rainage;Massicot;Template
ANN-R-CIN-ENF-BOB;F000;R000;M010;T004
ANN-R-CIN-ENF-CHA;F000;R000;M018;T002
ANN-R-CIN-ENF-CLA;F000;R000;M018;T007
ANN-R-CIN-ENF-POP;F000;R000;M018;T002
ANN-R-CIN-ENF-TIC;F000;R000;M010;T015
ANN-R-CIN-ADO-AFF;F000;R000;M018;T002
ANN-R-CIN-ADO-BOB;F000;R000;M010;T010
ANN-R-CIN-ADO-POP;F000;R000;M018;T002
ANN-R-CIN-ADO-OSC;F000;R000;M010;T010
ANN-R-CIN-ADO-TIC;F000;R000;M010;T015
ANN-R-CIN-ADU-BOB;F000;R000;M010;T004
ANN-R-CIN-ADU-CHA;F000;R000;M018;T002
ANN-R-CIN-ADU-CLA;F000;R000;M010;T010
ANN-R-CIN-ADU-STA;F000;R000;M018;T002
ANN-R-CIN-ADU-TIC;F000;R000;M010;T015
