;Faconnage;Rainage;Massicot;Template
ANN-R-CLA-ENF-BON;F000;R000;M010;T010
ANN-R-CLA-ENF-MON;F000;R000;M018;T007
ANN-R-CLA-ENF-PAS;F000;R000;M010;T010
ANN-R-CLA-ENF-TET;F000;R000;M010;T010
ANN-R-CLA-ENF-THA;F000;R000;M018;T007
ANN-R-CLA-ADO-BAL;F000;R000;M010;T010
ANN-R-CLA-ADO-GLI;F000;R000;M010;T010
ANN-R-CLA-ADO-LIG;F000;R000;M018;T002
ANN-R-CLA-ADO-OMB;F000;R000;M018;T007
ANN-R-CLA-ADO-POI;F000;R000;M010;T010
ANN-R-CLA-ADU-BAL;F000;R000;M010;T010
ANN-R-CLA-ADU-CAD;F015;R002;M006;T009
ANN-R-CLA-ADU-CHA;F000;R000;M018;T002
ANN-R-CLA-ADU-FEU;F000;R000;M010;T015
ANN-R-CLA-ADU-GAT;F001;R001;M010;T001
