;Faconnage;Rainage;Massicot;Template
ANN-R-DIV-ENF-BAL;F000;R000;M018;T002
ANN-R-DIV-ENF-EMP;F000;R000;M018;T007
ANN-R-DIV-ENF-FOR;F000;R000;M010;T010
ANN-R-DIV-ENF-LIC;F000;R000;M010;T010
ANN-R-DIV-ENF-NUA;F000;R000;M018;T007
ANN-R-DIV-ADO-BAL;F000;R000;M010;T010
ANN-R-DIV-ADO-DES;F000;R000;M018;T007
ANN-R-DIV-ADO-FEU;F000;R000;M010;T010
ANN-R-DIV-ADO-FOR;F000;R000;M018;T002
ANN-R-DIV-ADO-ROU;F000;R000;M018;T002
ANN-R-DIV-ADU-CAM;F000;R000;M018;T002
ANN-R-DIV-ADU-GRA;F000;R000;M018;T002
ANN-R-DIV-ADU-LUN;F000;R000;M010;T004
ANN-R-DIV-ADU-MON;F000;R000;M018;T002
ANN-R-DIV-ADU-VAS;F000;R000;M018;T002
