;Faconnage;Rainage;Massicot;Template
ANN-R-GOU-ENF-CIT;F000;R000;M018;T002
ANN-R-GOU-ENF-GAT;F000;R000;M010;T010
ANN-R-GOU-ENF-GLA;F000;R000;M010;T010
ANN-R-GOU-ENF-MIE;F000;R000;M010;T010
ANN-R-GOU-ENF-PAS;F000;R000;M018;T002
ANN-R-GOU-ADO-DON;F000;R000;M010;T010
ANN-R-GOU-ADO-FRA;F000;R000;M018;T007
ANN-R-GOU-ADO-GAT;F000;R000;M010;T010
ANN-R-GOU-ADO-GLA;F000;R000;M018;T002
ANN-R-GOU-ADO-SWE;F000;R000;M010;T010
ANN-R-GOU-ADU-CHA;F000;R000;M010;T010
ANN-R-GOU-ADU-CUV;F000;R000;M018;T002
ANN-R-GOU-ADU-GAU;F000;R000;M010;T010
ANN-R-GOU-ADU-GLA;F000;R000;M018;T002
ANN-R-GOU-ADU-SUS;F000;R000;M018;T002
