;Faconnage;Rainage;Massicot;Template
ANN-R-NAT-ENF-ANI;F000;R000;M010;T010
ANN-R-NAT-ENF-BAL;F000;R000;M018;T002
ANN-R-NAT-ENF-FAO;F000;R000;M010;T010
ANN-R-NAT-ENF-NOU;F000;R000;M010;T010
ANN-R-NAT-ENF-OUR;F000;R000;M010;T010
ANN-R-NAT-ADO-COC;F000;R000;M010;T004
ANN-R-NAT-ADO-FLO;F000;R000;M010;T010
ANN-R-NAT-ADO-MER;F000;R000;M018;T002
ANN-R-NAT-ADO-SAB;F000;R000;M018;T002
ANN-R-NAT-ADO-SAH;F000;R000;M018;T002
ANN-R-NAT-ADU-ABE;F000;R000;M010;T015
ANN-R-NAT-ADU-CAC;F000;R000;M018;T002
ANN-R-NAT-ADU-FLE;F000;R000;M018;T002
ANN-R-NAT-ADU-LUN;F000;R000;M018;T007
ANN-R-NAT-ADU-PAN;F000;R000;M010;T010
