;Faconnage;Rainage;Massicot;Template
ANN-R-VIN-ENF-CIR;F000;R000;M010;T010
ANN-R-VIN-ENF-DIN;F000;R000;M010;T010
ANN-R-VIN-ENF-ETO;F000;R000;M018;T007
ANN-R-VIN-ENF-GRA;F000;R000;M018;T002
ANN-R-VIN-ENF-SUP;F001;R001;M010;T001
ANN-R-VIN-ADO-BUL;F000;R000;M018;T002
ANN-R-VIN-ADO-CAN;F001;R001;M006;T014
ANN-R-VIN-ADO-MAC;F000;R000;M018;T007
ANN-R-VIN-ADO-PIX;F000;R000;M010;T010
ANN-R-VIN-ADO-POI;F000;R000;M010;T010
ANN-R-VIN-ADU-GUI;F000;R000;M010;T004
ANN-R-VIN-ADU-POL;F000;R000;M018;T002
ANN-R-VIN-ADU-RET;F000;R000;M010;T010
ANN-R-VIN-ADU-VIN;F000;R000;M008;T005
ANN-R-VIN-ADU-VOI;F000;R000;M018;T007
