;Faconnage;Rainage;Massicot;Template
ANN-R-VOY-ENF-AVI;F000;R000;M010;T010
ANN-R-VOY-ENF-CAM;F000;R000;M010;T010
ANN-R-VOY-ENF-MON;F000;R000;M010;T004
ANN-R-VOY-ENF-OCE;F001;R001;M010;T001
ANN-R-VOY-ENF-PAY;F000;R000;M018;T007
ANN-R-VOY-ADO-GLO;F000;R000;M010;T010
ANN-R-VOY-ADO-HOT;F000;R000;M018;T002
ANN-R-VOY-ADO-JUN;F000;R000;M010;T015
ANN-R-VOY-ADO-MER;F000;R000;M018;T007
ANN-R-VOY-ADO-PAS;F001;R001;M010;T001
ANN-R-VOY-ADU-BOA;F000;R000;M010;T015
ANN-R-VOY-ADU-CAR;F001;R001;M006;T014
ANN-R-VOY-ADU-MON;F000;R000;M010;T010
ANN-R-VOY-ADU-PHO;F000;R000;M018;T007
ANN-R-VOY-ADU-POS;F000;R000;M018;T007
