;Faconnage;Rainage;Massicot;Template
AUT-CDD-CLA-ANG;F000;R000;M018;T002
AUT-CDD-CLA-ARB;F000;R000;M018;T007
AUT-CDD-CLA-ARC;F000;R000;M010;T010
AUT-CDD-CLA-BAR;F000;R000;M010;T004
AUT-CDD-CLA-BOU;F000;R000;M010;T004
AUT-CDD-CLA-CHR;F000;R000;M018;T007
AUT-CDD-CLA-CDS;F000;R000;M010;T010
AUT-CDD-CLA-COU;F020;R001;M006;T009
AUT-CDD-CLA-FEU;F000;R000;M018;T007
AUT-CDD-CLA-NUA;F000;R000;M010;T004
AUT-CDD-CLA-OIS;F000;R000;M010;T015
AUT-CDD-CLA-PAP;F000;R000;M018;T002
AUT-CDD-CLA-PHO;F001;R001;M010;T001
AUT-CDD-CLA-PIS;F001;R001;M006;T014
AUT-CDD-CLA-PLU;F000;R000;M010;T015
