;Faconnage;Rainage;Massicot;Template
AUT-CDD-DIV-AQU;F000;R000;M018;T007
AUT-CDD-DIV-BAR;F000;R000;M010;T015
AUT-CDD-DIV-CHA;F000;R000;M010;T010
AUT-CDD-DIV-CHE;F000;R000;M018;T007
AUT-CDD-DIV-HOR;F000;R000;M010;T015
AUT-CDD-DIV-MOZ;F000;R000;M018;T002
AUT-CDD-DIV-VOI;F000;R000;M010;T004
AUT-CDD-DIV-ADJ;F000;R000;M018;T002
AUT-CDD-DIV-CAD;F000;R000;M018;T002
AUT-CDD-DIV-ETO;F020;R001;M006;T009
AUT-CDD-DIV-FRI;F000;R000;M010;T004
AUT-CDD-DIV-LUN;F000;R000;M010;T004
AUT-CDD-DIV-MAR;F000;R000;M010;T015
AUT-CDD-DIV-TYP;F000;R000;M010;T010
AUT-CDD-DIV-CAR;F000;R000;M018;T007
