;Faconnage;Rainage;Massicot;Template
AUT-CDVX-CLA-CIT;F000;R000;M018;T002
AUT-CDVX-CLA-DEC;F000;R000;M018;T007
AUT-CDVX-CLA-ECU;F000;R000;M010;T004
AUT-CDVX-CLA-EMO;F000;R000;M018;T007
AUT-CDVX-CLA-FLO;F000;R000;M010;T004
AUT-CDVX-CLA-GUI;F015;R002;M006;T009
AUT-CDVX-CLA-HIV;F000;R000;M018;T002
AUT-CDVX-CLA-HOH;F000;R000;M010;T015
AUT-CDVX-CLA-NOE;F001;R001;M010;T006
AUT-CDVX-CLA-PAI;F000;R000;M010;T004
AUT-CDVX-CLA-PER;F000;R000;M010;T015
AUT-CDVX-CLA-POR;F000;R000;M018;T007
AUT-CDVX-CLA-PIN;F020;R001;M006;T009
AUT-CDVX-CLA-TRI;F000;R000;M018;T002
