;Faconnage;Rainage;Massicot;Template
AUT-CDVX-DIV-ABS;F000;R000;M010;T015
AUT-CDVX-DIV-ARA;F000;R000;M018;T002
AUT-CDVX-DIV-BAL;F000;R000;M010;T010
AUT-CDVX-DIV-CAM;F000;R000;M018;T007
AUT-CDVX-DIV-CON;F000;R000;M010;T015
AUT-CDVX-DIV-DIG;F001;R001;M006;T014
AUT-CDVX-DIV-ETO;F000;R000;M006;T004
AUT-CDVX-DIV-FLE;F000;R000;M010;T015
AUT-CDVX-DIV-HOL;F000;R000;M010;T010
AUT-CDVX-DIV-MOS;F000;R000;M010;T004
AUT-CDVX-DIV-NAT;F000;R000;M010;T010
AUT-CDVX-DIV-PEI;F001;R001;M010;T001
AUT-CDVX-DIV-PHO;F000;R000;M010;T004
AUT-CDVX-DIV-SCR;F000;R000;M010;T010
AUT-CDVX-DIV-SER;F000;R000;M018;T007
