;Faconnage;Rainage;Massicot;Template
AUT-CDVX-NAC-ALM;F001;R001;M010;T001
AUT-CDVX-NAC-AQU;F000;R000;M010;T004
AUT-CDVX-NAC-BAM;F000;R000;M018;T007
AUT-CDVX-NAC-BIS;F000;R000;M010;T004
AUT-CDVX-NAC-CAL;F000;R000;M010;T004
AUT-CDVX-NAC-CER;F020;R001;M006;T009
AUT-CDVX-NAC-DRA;F001;R001;M006;T014
AUT-CDVX-NAC-ENV;F000;R000;M018;T002
AUT-CDVX-NAC-LAN;F000;R000;M010;T010
AUT-CDVX-NAC-MAN;F000;R000;M010;T015
AUT-CDVX-NAC-MIN;F000;R000;M018;T007
AUT-CDVX-NAC-NOE;F000;R000;M018;T002
AUT-CDVX-NAC-OMB;F000;R000;M018;T007
AUT-CDVX-NAC-PET;F000;R000;M010;T015
AUT-CDVX-NAC-SIN;F000;R000;M010;T010
