;Faconnage;Rainage;Massicot;Template
PRO-C-ALI-1-BOI;F000;R000;M038;T016
PRO-C-ALI-2-BOI;F000;R000;M042;T017
PRO-C-ALI-3-BOI;F000;R000;M038;T018
PRO-C-ALI-1-BOU;F000;R000;M038;T018
PRO-C-ALI-2-BOU;F000;R000;M038;T016
PRO-C-ALI-3-BOU;F000;R000;M042;T017
PRO-C-ALI-1-BPA;F000;R000;M038;T018
PRO-C-ALI-2-BPA;F000;R000;M042;T017
PRO-C-ALI-3-BPA;F000;R000;M038;T016
PRO-C-ALI-1-CAV;F000;R000;M042;T017
PRO-C-ALI-2-CAV;F000;R000;M038;T016
PRO-C-ALI-3-CAV;F000;R000;M038;T018
PRO-C-ALI-1-CCO;F000;R000;M038;T016
PRO-C-ALI-2-CCO;F000;R000;M038;T018
PRO-C-ALI-3-CCO;F000;R000;M042;T017
PRO-C-ALI-1-CRE;F000;R000;M042;T017
PRO-C-ALI-2-CRE;F000;R000;M038;T016
PRO-C-ALI-3-CRE;F000;R000;M038;T018
PRO-C-ALI-1-GDI;F000;R000;M038;T018
PRO-C-ALI-2-GDI;F000;R000;M038;T016
PRO-C-ALI-3-GDI;F000;R000;M042;T017
PRO-C-ALI-1-POI;F000;R000;M038;T016
PRO-C-ALI-2-POI;F000;R000;M038;T018
PRO-C-ALI-3-POI;F000;R000;M042;T017
PRO-C-ALI-1-PRI;F000;R000;M042;T017
PRO-C-ALI-2-PRI;F000;R000;M038;T018
PRO-C-ALI-3-PRI;F000;R000;M038;T016
PRO-C-ALI-1-RES;F000;R000;M038;T018
PRO-C-ALI-2-RES;F000;R000;M038;T016
PRO-C-ALI-3-RES;F000;R000;M042;T017
