;Faconnage;Rainage;Massicot;Template
PRO-C-SER-1-ELE;F000;R000;M042;T017
PRO-C-SER-2-ELE;F000;R000;M038;T016
PRO-C-SER-3-ELE;F000;R000;M038;T018
PRO-C-SER-1-BRI;F000;R000;M038;T016
PRO-C-SER-2-BRI;F000;R000;M042;T017
PRO-C-SER-3-BRI;F000;R000;M038;T018
PRO-C-SER-1-EDU;F000;R000;M038;T018
PRO-C-SER-2-EDU;F000;R000;M042;T017
PRO-C-SER-3-EDU;F000;R000;M038;T016
PRO-C-SER-1-ENT;F000;R000;M042;T017
PRO-C-SER-2-ENT;F000;R000;M038;T016
PRO-C-SER-3-ENT;F000;R000;M038;T018
PRO-C-SER-1-FIN;F000;R000;M038;T018
PRO-C-SER-2-FIN;F000;R000;M038;T016
PRO-C-SER-3-FIN;F000;R000;M042;T017
PRO-C-SER-1-IMM;F000;R000;M042;T017
PRO-C-SER-2-IMM;F000;R000;M038;T018
PRO-C-SER-3-IMM;F000;R000;M038;T016
PRO-C-SER-1-JUS;F000;R000;M038;T016
PRO-C-SER-2-JUS;F000;R000;M038;T018
PRO-C-SER-3-JUS;F000;R000;M042;T017
PRO-C-SER-1-MAR;F000;R000;M042;T017
PRO-C-SER-2-MAR;F000;R000;M038;T018
PRO-C-SER-3-MAR;F000;R000;M038;T016
PRO-C-SER-1-TOU;F000;R000;M038;T018
PRO-C-SER-2-TOU;F000;R000;M042;T017
PRO-C-SER-3-TOU;F000;R000;M038;T016
PRO-C-SER-1-TRA;F000;R000;M038;T018
PRO-C-SER-2-TRA;F000;R000;M038;T016
PRO-C-SER-3-TRA;F000;R000;M042;T017
