;Unité;Nombres coupes;Libellé;PU_tranche01;PU_tranche02;Standard
M001;M;1;1 Coupe;3,09;2,2145;false
M002;M;2;2 Coupes;6,18;4,429;false
M003;M;3;3 Coupes;9,27;6,6435;false
M004;M;4;4 Coupes;12,36;8,858;false
M005;M;5;5 Coupes;15,45;11,0725;false
M006;M;6;6 Coupes;18,54;13,287;true
M007;M;7;7 Coupes;21,63;15,5015;false
M008;M;8;8 Coupes;24,72;17,716;true
M009;M;9;9 Coupes;27,81;19,9305;false
M010;M;10;10 Coupes;30,9;22,145;true
M011;M;11;11 Coupes;33,99;24,3595;false
M012;M;12;12 Coupes;37,08;26,574;false
M013;M;13;13 Coupes;40,17;28,7885;false
M014;M;14;14 Coupes;43,26;31,003;false
M015;M;15;15 Coupes;46,35;33,2175;false
M016;M;16;16 Coupes;49,44;35,432;false
M017;M;17;17 Coupes;52,53;37,6465;false
M018;M;18;18 Coupes;55,62;39,861;true
M019;M;19;19 Coupes;58,71;42,0755;false
M020;M;20;20 Coupes;61,8;44,29;false
M021;M;21;21 Coupes;64,89;46,5045;false
M022;M;22;22 Coupes;67,98;48,719;false
M023;M;23;23 Coupes;71,07;50,9335;false
M024;M;24;24 Coupes;74,16;53,148;false
M025;M;25;25 Coupes;77,25;55,3625;false
M026;M;26;26 Coupes;80,34;57,577;false
M027;M;27;27 Coupes;83,43;59,7915;false
M028;M;28;28 Coupes;86,52;62,006;false
M029;M;29;29 Coupes;89,61;64,2205;false
M030;M;30;30 Coupes;92,7;66,435;false
M031;M;31;31 Coupes;95,79;68,6495;false
M032;M;32;32 Coupes;98,88;70,864;false
M038;M;38;38 Coupes;117,42;84,151;true
M042;M;42;42 Coupes;129,78;93,009;true
M052;M;52;52 Coupes;160,68;115,154;false
